,review,rating,bus_id,avg_rating,bus_add,bus_city,lat,lon
10,"I am so glad Dulce De Leche Bakery opened nearby! This place is amazing! I have never had anything I didn't like. The pastries are just delicious, as are the sandwiches. Their coffee and fresh-pressed juice is also great. I love going there …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
11,"I wanted to eat a Chocolate cake and soo glad I chose this bakery.. the cakes are so well made , looks and tastes perfect..first of all they are sooo well organized.. clean and fast!! The service is unbelievable.. they have a nice brunch …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
12,"An absolute gem! The breakfast sandwich is phenomenal, as are the juices and smoothies.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
13,"My gender reveal cake was a 10/10! Everyone at our party loved the cake, from the kiddos to the adults. The cake was simply delicious and of course a beauty to look at!  A huge Thank you to the Dulce de Leche team for helping to make our event a huge success!",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
14,"Best bakery in Jersey City. Mini cannoli, factura, croissant, chocolate chip cookies, cakes are must try. Customized cakes must be ordered at least 1 to 2 days in advance. Bit costly compared to other bakeries but worth the money. Coconut mousse cake is the best.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
15,"Very cute bakery with a lot of places to sit and work, also it's kinda busy which makes the vibe better. Delicious croissant and coffee",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
16,"I like this bakery very much. Service is excellent and quick. What I went for: turkey sandwich with cheese, fruit tart, and doctors orders (pineapple, carrot, apple, lemon, and ginger juice). The sandwich was pretty good, especially for the …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
17,"Great value, service, and range and quality of food and drinks, especially love their breakfast sandwiches. Place is usually clean, almost always busy, but you don't have to wait a long time. Also like the diversity of the crowd, in terms of age, race, and class. I love supporting businesses like this.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
18,"Argentine bakery, very busy place but service is fast.
They have good sandwiches and sweets staff., delicious bread, coffee.,
try the famous choripán…. …",4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
19,"This Argentinian bakery has all the pastries you can imagine and more. We bought an assortment of pastries, a container of ham and cheese sandwiches, and a doctor’s orders juice. …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
20,I didn't get to dine in but I bought a little bit of everything and man it was great!! The food is definitely amazing and the staff were very friendly and knowledgeable. The decor is very warm and inviting and it would be great to …,5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
21,"Love this place! Visited on a rainy day and it didn’t disappoint!
Ordered the western omelette. The portion was huge and it got so much fillings inside!! Just wow! Adding ketchup yourself would make it perfect. …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
22,"Nestled in the heart of town, Dulce De Leche is a cozy haven for pastry lovers. Their empanadas are a true delight, featuring a perfectly flaky crust and a variety of flavorful fillings that keep you coming back for more. The cakes are …",4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
23,"I’ve been here since almost a year and I love this place and I even got my birthday cake from this place. I was just $36. If you love you, love it, but you are more deserts. You can explore them. I think everything is all good over there.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
24,"I love this little bakery, it’s a staple in the area. The coffee is strong and they have alternative milk options & flavors. Their cakes are delicious and I would recommend the dulce de leche croissants and smoothies.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
25,"Terrific Argentine bakery with fresh & delicious baked goods, really great fresh juices, wonderful cakes and all at super fair prices! (Also only place I know nearby serving sandwich de miga regularly).",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
26,"I've been a fan of this location for a while, but unfortunately, the customer service has significantly declined. The food quality has also dropped, and to make matters worse, I saw two mice running around. When I mentioned this to an …",1,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
27,"On weekends you can get amazing strawberry croissants and chocolate churros.
The regular week offers are also good (try chocolate mini cups!)",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
28,"The avocado toast was so delicious! The steak sandwich was also very good. Pastries were okay, a little dry.",4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
29,Such a cute little bakery! I had a delicious slice of carrot cake and a little chocolate cup of chocolate mousse to go. Such a cute dessert and so tasty! The bakery has a mini cafe feel with lots of options!,5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
30,"If you’ve been looking for a quality local dessert item to add to your dinner party or simply have a sweet tooth, you’ve come to the right place! This Argentinian style cafe and bakery in The Heights is a treat. We have been their regular …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
31,MUST GO 🔥 delicious food 😋 great service 💫 …,5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
32,Absolutely love this place. The breakfast and lunch choices are great. I have nothing to complain about! I usually end up overselling the place to most of my friends but it’s worth a visit.,5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
33,"Very clean, and usually a lot of people. But they warm everything up and are quick. Also this is the type of bakery that has a lot of options. The only downside is the parking.",4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
34,"Absolutely love love love!!!
Very neat bakery/coffeteria, the workers are professionals, the atmosphere is just excellent, AND the taste is beyond perfection.
Highly recommend!",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
35,"Everything is delicious, but I noticed that lately, most if not all their pastries have gotten smaller and their fillings too. For instance on sunday I bought the strawberry croissant which they only make on the weekend and though it was a decent size,when I cut it open to eat it  there was barely and strawberry and cream inside.",4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
36,"Very nice place,to have a coffee and a sweet treat,or take delicious savory or sweet home,great variety of Argentina/ Uruguay tipe of pastry, sandwich,cakes.
Great relation price/ quality,highly recommend it.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
37,"Best egg sandwich I've had in a long time.  Definitely get it on a croissant.  Churros are also amazing.  Big space, super cheap, and you can easily spend a few hours there sipping coffee and using their free WiFi.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
38,"This place is a paradise for sweet lovers. Their beautiful artisan pastries, breads and cakes, sweet and savoury are really amazing. Would love to try more of their pastries. Staff was friendly and helpful, in deciding between so many freaking options.  Definitely coming back here to try more of their absolute treats.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
39,"Amazing pastries and atmosphere! Not a fan of dulce de leche and sadly a lot
of their pastries are filled with that, but their palmeras and choco croissants are delicious!",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
40,Excellent selection of cakes for all your occasions. Go early to get your favorites like Tiramisu - they run out of it pretty quickly.,4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
41,"Dulce DE-LICIOUS strikes again.  Food is always amazing, packaged beautifully, completely accurate order.  They even use compostable sandwich containers.  Driver was the most courteous and professional delivery person.  Pleasure all around! …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
42,"Great place. Beautifully decorated. Nice selection of pastries, cakes and salads.
My favourite, sandwich de miga!",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
43,"They close at 8:00PM I was there exactly at 7:59PM just for a togo order of tiramisu which the staff didn’t wanna give at all, they could have been a bit more generous to their customers. Very bad experience with the staff.",1,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
44,"My absolute favorite, I've been coming here for years. It is worth the commute even from Uptown Manhattan. The dulce de leche layered chocolate cake and mille foglie are delicious.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
45,"Great bakery! It's pristine and inviting! I have managed to try several items from their menu (salads, juices, quiches, cakes, empanadas, breads, desserts, etc.) and I have nothing negative to say. The staff members are sweet and attentive. If you haven't already, I suggest you mosey over to Dulce.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
46,"As a sweet tooth, the croissants and Tiramisu cake box taste so good!! Not too sweet and texture is one of a kind out of all the sugary American desserts. Would love to come here over times .I’d recommend to my friends as well! Thanks for making such lovely sweets :)",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
47,"So glad i live far enough away from here otherwise, we would be in all the time. Great , fresh food and pastries!",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
48,All around a great experience. Excellent breakfast sandwich. Delicious pastries. The coffee was pretty good too. If I am back in the area I would absolutely return.,5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
49,Dulce always has great fresh food and excellent service! I Love the  Advocato toast with egg with my doctors ordered from the juice bar. But you cant go wrong with anything on the menu. Great place for any meal!!!❤❤❤❤❤,5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
50,"MORE MORE ❤️❤️ You will want more and more of this place. The empanadas are very well crafted, thin and crispy, the fillings are tasty and varied. 😚 I tried ALL 6 FLAVORS of empanadas. The most tasty is pepperoni and cheese 🧀 and the chicken 🐔 with spices. The dulce de leche pastries 🍰 are very good 👍 with the ojaldre thin and crisp! Overall, a MUST VISIT 😍👏",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
51,"The food was absolutely delicious. The line was long, but it was worth the wait 😋. …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
52,"Looking for somewhat fast ordering food and found this great bakery, but also sells breakfast items and sandwiches...
I ordered one croissant with ham and cheese, one choripan and a capuchino and everything was awesome!! Planning on bring the family next time! 👍👍 …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
53,I love dulce de leche bakery a lot. Perfect coffee and breakfast. I would recommend their avocado toast and their egg sandwich on croissant. They also have a pastry which has filling with dulce de leche flavor and  white cream.  It is so yum. Always so fresh and delicious. One of the best bakery that I've ever had. Highly recommended!,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
54,"They have an extremely huge variety of parties, cakes, sandwiches, empanadas coffee and other sweet and salty delights. My favorite was the alfajor that is filled with dulce de leche. We ordered a couple of slices of cake to go but we were …",2,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
55,"Flies. Flies everywhere. Flies on the croissants, breads, pastries.. (except where the slices of cakes were since that actually had a sliding door that they made sure to close). …",2,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
56,"Absolutely delicious! The latte was great, the spinach puffs were amazing, i dont think iv ever had a more delicious turkey sandwich in my life. The assortment of pastries we grabbed were delectable and i will be back later this afternoon for more!",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
57,Cheese empanada and spinach danish were both delicious warmed up. Got a few of the tarts which were also tasty. Green juice was pretty good too. …,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
58,This place makes great food. Coffee was not good at all. The lines are RIDICULOUS. So many employees but just two cashiers. They need a better system to get orders out and have less lines. FOOD WAS GREAT... But they just need a better system to rush orders out.,2,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
59,"We are from Uruguay and I have to say that the facturas that have dulce de leche inside are delicious. They also sell Los Nietitos products that are from Uruguay and it was great to see them there. Las masitas are to die for, we are coming …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
60,"There has been a noticeable decline in the quality of the product over the years. This year, I was particularly disappointed to find that the $250 cake did not come with a bag, and there was a defect in the cake itself.",1,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
61,"Excellent food and prices. The place is very bright and clean! Cashiers are polite and always smiling. Service is quick. I love the space, many tables are far from one another. Pleasant music, and clean bathrooms. Amazing ""tortilla española"" by the way.",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
62,"UPDATE: THURSDAY, JULY 11, 2024: 1:13AM: This was my first time back at Dulce de Leche in more than ten years.  Specifically, between 2017-2018.  The service remains very good, and I noticed new food and beverage offerings. …",4,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
63,Lately the ladies in charge are super rude and bullies. All the girls have bad faces and no one seems happy. I have been a customer since the 1st bakery opened and all locations. This JC location is poorly managed lately.  There is a huge …,1,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
64,I was only in New Jersey for two days and I went twice. I loved it. Their food- from the Empanadas to the french pastries- was delicious. The place itself was clean and lovely decorated. The staff was also super friendly. 100% recommended!,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
65,My favorite place ! This bakery tops any other bakery in NJ! I love absolutely everything they have to offer.. always get birthday cakes here too! There is nothing here I can say is not delicious! The englewood location is also super cute if you want to dine in.,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
66,"Loved the ham and cheese sandwich!  It was so simple, but the bread is super fluffy and it's very enjoyable to eat.   Was a little disappointed by the empenadas, but the pepperoni and spinach and cheese were our favorites.  The chicken and …",4,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
67,I am sharing my experience today. I spoke to a lady on the phone to change a pick up date for next week Sat. 7/27/24. I ordered online last night on Thursday 7/18/24 and called to change the time on the morning of today on Friday 7/19/24 to …,1,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
68,I’ve ordered from them so many times and the last two times I’ve ordered from them the food has been so bad I usually order a grilled chicken blt and the last two times the chicken has been rubbery and hard to chew. I called to complain and …,1,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
69,"Beautiful bakery with lots of delicious goods. I had gone to their Jersey location first, while it was good it wasn't the better bakery. I highly recommend the West New York location. Beautiful bakery, very good empanadas, good tasting …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
70,"THEY ARE THE BEST WITH THEIR NEW LOOK AND OF COURSE:
Best empanadas in the hood :) and of course fresh orange juice. And turkey avacado sandwich and... and... they are all awesome but the best of all is the new …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
71,"My wife and I been going to Dulce de Leche Bakery for a very long time—since around 2010.  There’s a reason why I keep coming back.  The baked empanadas are delicious, the coffee is always on point, try the Yerba Mate if you want to try a …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
72,"The taste was really good, I loved the fruit smoothies, and the flavor of the cakes, which DID NOT taste like egg like other bakeries I've been to.
After midday it gets full, so come early. …",4,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
73,This place is so clutch. Been here so many times but this is my first review. Not only is this spot cheap but it is convenient. I ordered a bunch of pastries and it only came to $16. The service was cool and was in and out. Gotta love this place.,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
74,Hate having to write this review but wow the service here is terrible!! Such a shame because the food is delicious and I’m sure the kitchen staff is great but I can’t say the same for the cashiers. They are incredibly rude and so unpleasant to deal such as Erika C and the other one who handed my order to me.,2,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
75,"The prices are amazing. I came for the tres leches, did not disappoint. The drip coffee came be better. But overall great selection and prices.",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
76,Great place it's like a shiny gem 💎 in the neighborhood. It wide and spacious and you have have people there with you and eat and hangout. We wanted carrot cake but we got tiramisu . Wow so delicious 😋. We also got a Oreo slice of cake. …,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
77,"The quality of this place it's amazing!!
They know about Argentinian pastries and everything in the service was on point. …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
78,I feel bat cause the owner is very nice. And sweet but the services is very. Rude They stand next to each other talking about something because it's obvious they work in a store and that didn't happen before. two who attended to me saw you. …,2,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
79,"Usually I don’t post reviews, however my experience today wasn’t pleasant. When I initially walked into the location and waited online with my puppy I was approached by a worker of the location stating dogs aren’t allowed which I normally …",2,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
80,"I really wanted an empanada today, so I stopped here and I was not impressed with them. I waited too long to order and they were not busy. Also the chicken empanada was made with canned chicken not real chicken! And it had zero seasoning. I …",2,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
81,"Unfortunately the quality is going down but not the prices. I specifically refer to the ham and chesse sandwich ( de pan de molde ).
The filling ( ham and chesse ) used to be abundant with butter . Now, it  comes …",1,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
82,"Bad bad bad service i came 5 minutes before the closing time. I just wanted a cake, they always have it out. The lady said i couldn't go inside, i asked because it was gonna be quick and it was a bday cake. To be honest i always came here, loved it but lately the service hasnt been good, other different bad experiences.",1,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
83,"The desserts are sooo good! Love it 😀 I tried the Dulce Leche Cake chocolate layered, so good and I liked the chocolate mousse cups. …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
84,Awesome Argentine bakery. I come here every now and then to get birthday cakes and empanadas. Food is always fresh (or at least seems fresh lol) and workers are friendly. They also have sandwiches (which I never tried) and coffee. Only problem is parking but that’s West NY for ya 🤷🏻‍♀️ …,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
85,"If you have a sweet tooth for Argentine pastries, then this is the place for you! There is always a line. There are quiches, sandwiches and tons of cakes and other pastries. The staff is always friendly and kind. I buy my Yerba Maté from there.",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
86,Their cakes are delicious. So far we have bought cakes for 3 birthdays and always a party fave.  Love their Chocolate with Dulce De Leche and whipped cream cake.  The cake is perfect. Not too moist and not too dry. Perfect chocolate taste …,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
87,I’ve been coming here for several years and it is just perfection every single time. Their empanadas are the most delicious- by far the best I have ever had. Lots of different flavors too. …,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
88,Great popular breakfast cafe. Fast whichever ordering: we had not looked at half the choices when it was out turn to order. Easy in or take out. Hot service it delivered to your table. Cannot wait to come back.,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
89,The cakes are all EXTREMELY delicious and the service is always great!  I have ordered several cakes from here and they didn't disappoint.  We stopped for a small breakfast here and they're Ham and cheese croissants tasted great.  Crunchy and sweet croissant with a hot and cheesy filling.,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
90,"I’m very upset because I used to love Dulce De Leche so  much until I got a cake that was very bad. The same day I purchased it was the same day I opened it to eat and it was very dry, hard, and didn’t have a fresh taste to it. It was very …",1,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
91,"Simply, Best butterfly pastry 蝴蝶酥 I have ever had in my whole life! Definitely want to go back to try more of their pastries! The place is super clean and neat, cheap but delivers the best quality!",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
92,"This place is just great! Pocket friendly bakery with some really tasty food just great for breakfast And lunch. Nice collection of desserts. Not bored of this place even after trying different items. Yet to disappoint. Loved the turkey sandwich , very fresh avacado sandwich.",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
93,"They have ham and cheese croissants that are glaze a bit sweet super nice, and the coffee is very good super recommended",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
94,Dulce de leche it’s my coffee place for more than 5 years. I’m there almost every day. Cakes and food are delicious.,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
95,"Wow this place is definitely our favorite for many years. You can’t find a bakery like such in NY.
Best lattes / coffees/ incredibly delicious bakery items and cakes. I have …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
96,"Place is top notch. Orderly, clean, friendly and helpful staff. Food was incredible. Best avacado toast I've ever had, and perhaps the best Argentinian cheese empanadas I've ever eaten. This is going to be the new default for Saturday and Sunday breakfast.",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
97,"Every time that I come here is a pleasure. 😊 The service is good, the taste is amazing and the bakery is from another planet! Perfect for a brunch 😋 …",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
98,"Always long line in this place no matter what time of the day but it's pretty fast too bc there are lots of registers and the staff works fast. Love the chocolate moose in a chocolate cup, the empanadas, the sandwiches, the Spanish tortilla, the quiche.",5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
99,This place is such a staple to the community.  Locals love it and everything is tasty. Great bakery spot for breakfast and dinner .,5,Dulce De Leche Bakery,4.6,6510 Bergenline Ave, West New York,40.7933982,-74.015315
100,"Awesome bakery right in the heart of Englewood. They are very busy, especially on weekends and holidays, but the staff keep the line moving quickly. All of their pastries are delicious, and their coffee is just right. The inside of the establishment is quite beautiful as well, with a minimalist open air decor and aesthetic. Highly recommend a visit!",5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
101,Love! Love! Love! My favorite bakery! The cakes (slice or whole) is always so fresh and delicious! I order the Dulce De Leche Chantilly Cake Slice and it’s honestly omg. The top frosting tastes like hot chocolate. The chocolate cake is …,5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
102,This place gets crazy! This place is spacious and gets busy quickly. The staff is awesome and professional. They definitely try to get you out in advance. They have all kinds I'd pastries and they make cakes. I ordered chicken empanadas and …,4,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
103,The cake was beautiful and delicious! Perfect for the  Birthday theme!🤩 The staff were very helpful and friendly. The lady that helped me with the cake order was great 😊 The delivery driver was also very helpful and responsible. He send me pictures of the cake after it was delivered. They are highly recommended! …,5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
104,"Legendary Dulce de leche has a branch in englewood.. it’s a nice bakery with v v positive vibes and very popular for their sweet and savory treats .. the cakes are very different and very flavorful.. I love the coffee, tiramisu and the …",5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
105,"It’s not expensive, but the taste is satisfying.  Sandwiches in the refrigerator were perfect for taking out for a snack after picnics, lunch, and kids’ outdoor activities. But the attitude of the cashier needs to something change.",3,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
106,"Everything I had from here was absolutely delicious - the pastries were flakey and buttery and all the fillings were just as good, the coffee and fresh juices are a delight as well. The staff works quickly and the seating area is spacious …",5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
107,"I was impressed by how popular the cafe is on a Sunday morning, it had at least 40 people sitting and 20 in line, showing how popular it is! It was SO DELICIOUS the tres leches cake , liked the turkey sandwich and a smoothie too",5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
108,"Delicious deserts and baked goods here. I ordered the sandwich 🥪 in my picture. I forgot what it’s called. I think it’s originally the ham and cheese, but I customized it to just spinach, cheese and tomatoes 🍅. For drink I ordered their green drink. It comes with spinach, cucumber 🥒, 🍋, ginger 🫚, and 🍏 green apple. …",5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
109,"This place is out of control, breakfast for two with coffee and a sweet is literally $14.. would be triple anywhere else. Fun stuff to try",5,Dulce de Leche Bakery,4.7,55 W Palisade Ave, Englewood,40.8955358,-73.9798118
